"Country","Language Name","Language Code","Classification","Family","Is ISO Recognized","Is Sign Language","1st Language Pop","Language Vitality","Alternate Names","GRN Numbers","Varieties (ROLV)","Continent","Country Code","Is Remaining V2025 Need"
"Bangladesh","War-Jaintia [aml]","aml","Austro-Asiatic, Mon-Khmer, Northern Mon-Khmer, Khasian","Austro-Asiatic","Yes","No","67,6","6a - Vigorous","Amwi (IN, L)Jaintia (IN, L)Khasi (IN, L)War (IN, L)War-Khasi (BD, L)War-Khasi (IN, L)","War-Jaintia (6975, GRN rec: No)War-Jaintia (6975, GRN rec: No)","","Asia","BD","No"
"Bangladesh","Atong [aot]","aot","Sino-Tibetan, Tibeto-Burman, Sal, Boro-Garo, Koch","Sino-Tibetan","Yes","No","10","6b - Threatened","A'tong (BD, L)A'tong (IN, L)Attong (BD, L)","Atong (7321, GRN rec: Yes)Atong (7321, GRN rec: Yes)Atong: Siju (27846, GRN rec: No)Atong: Siju (27846, GRN rec: No)Atong: Baghmara (27848, GRN rec: No)Atong: Baghmara (27848, GRN rec: No)Atong: Badri (27849, GRN rec: No)Atong: Badri (27849, GRN rec: No)Atong: Rongsu (27850, GRN rec: No)Atong: Rongsu (27850, GRN rec: No)","Baghmara (27848)","Asia","BD","No"
"Bangladesh","Bangla Sign Language [BD29]","BD29","","","No","Yes","815","5 - NA","Bangladesh Sign Language (BD, S)Bengali Sign Language (BD, S)BsSL (BD, S)","","","Asia","BD","No"
"Bangladesh","Bengali [ben]","ben","Indo-European, Indo-Iranian, Indo-Aryan, Outer Languages, Eastern, Bengali-Assamese","Indo-European","Yes","No","231,918,800","1 - National","Kishanganjia (IN, L)Bangala (BD, L)Bangala (IN, L)Bangala (NP, L)Bangali (NP, L)Bangla (BD, L)Bangla-Bhasa (BD, L)Bangla-Bhasa (IN, L)Bangla-Bhasa (NP, L)","Bengali: Eastern (136, GRN rec: No)Bengali: Eastern (136, GRN rec: No)Bengali: Eastern (136, GRN rec: No)Bengali: Eastern (136, GRN rec: No)Bengali: Eastern (136, GRN rec: No)Bengali (172, GRN rec: Yes)Bengali (172, GRN rec: Yes)Bengali (172, GRN rec: Yes)Bengali (172, GRN rec: Yes)Bengali (172, GRN rec: Yes)Bengali, Musalmani (597, GRN rec: Yes)Bengali, Musalmani (597, GRN rec: Yes)Bengali, Musalmani (597, GRN rec: Yes)Bengali, Musalmani (597, GRN rec: Yes)Bengali, Musalmani (597, GRN rec: Yes)Bangla: Muslim (3261, GRN rec: Yes)Bangla: Muslim (3261, GRN rec: Yes)Bangla: Muslim (3261, GRN rec: Yes)Bangla: Muslim (3261, GRN rec: Yes)Bangla: Muslim (3261, GRN rec: Yes)Bangla (3263, GRN rec: Yes)Bangla (3263, GRN rec: Yes)Bangla (3263, GRN rec: Yes)Bangla (3263, GRN rec: Yes)Bangla (3263, GRN rec: Yes)Bangla: Singh (5093, GRN rec: Yes)Bangla: Singh (5093, GRN rec: Yes)Bangla: Singh (5093, GRN rec: Yes)Bangla: Singh (5093, GRN rec: Yes)Bangla: Singh (5093, GRN rec: Yes)Bengali: Manbhuiyan (6446, GRN rec: Yes)Bengali: Manbhuiyan (6446, GRN rec: Yes)Bengali: Manbhuiyan (6446, GRN rec: Yes)Bengali: Manbhuiyan (6446, GRN rec: Yes)Bengali: Manbhuiyan (6446, GRN rec: Yes)Bengali: Barik (7958, GRN rec: No)Bengali: Barik (7958, GRN rec: No)Bengali: Barik (7958, GRN rec: No)Bengali: Barik (7958, GRN rec: No)Bengali: Barik (7958, GRN rec: No)Bengali: Bhatiari (7959, GRN rec: No)Bengali: Bhatiari (7959, GRN rec: No)Bengali: Bhatiari (7959, GRN rec: No)Bengali: Bhatiari (7959, GRN rec: No)Bengali: Bhatiari (7959, GRN rec: No)Bengali: Chirmar (7960, GRN rec: No)Bengali: Chirmar (7960, GRN rec: No)Bengali: Chirmar (7960, GRN rec: No)Bengali: Chirmar (7960, GRN rec: No)Bengali: Chirmar (7960, GRN rec: No)Bengali: Kachari-Bengali (7961, GRN rec: No)Bengali: Kachari-Bengali (7961, GRN rec: No)Bengali: Kachari-Bengali (7961, GRN rec: No)Bengali: Kachari-Bengali (7961, GRN rec: No)Bengali: Kachari-Bengali (7961, GRN rec: No)Bengali: Lahori-Malphaina (7962, GRN rec: No)Bengali: Lahori-Malphaina (7962, GRN rec: No)Bengali: Lahori-Malphaina (7962, GRN rec: No)Bengali: Lahori-Malphaina (7962, GRN rec: No)Bengali: Lahori-Malphaina (7962, GRN rec: No)Bengali: Rajshahi (7963, GRN rec: No)Bengali: Rajshahi (7963, GRN rec: No)Bengali: Rajshahi (7963, GRN rec: No)Bengali: Rajshahi (7963, GRN rec: No)Bengali: Rajshahi (7963, GRN rec: No)Bengali: Samaria (7964, GRN rec: No)Bengali: Samaria (7964, GRN rec: No)Bengali: Samaria (7964, GRN rec: No)Bengali: Samaria (7964, GRN rec: No)Bengali: Samaria (7964, GRN rec: No)Bengali: Saraki (7965, GRN rec: No)Bengali: Saraki (7965, GRN rec: No)Bengali: Saraki (7965, GRN rec: No)Bengali: Saraki (7965, GRN rec: No)Bengali: Saraki (7965, GRN rec: No)Bengali: Siripuria (7966, GRN rec: No)Bengali: Siripuria (7966, GRN rec: No)Bengali: Siripuria (7966, GRN rec: No)Bengali: Siripuria (7966, GRN rec: No)Bengali: Siripuria (7966, GRN rec: No)Bengali: Manbhum: Muchi (20012, GRN rec: Yes)Bengali: Manbhum: Muchi (20012, GRN rec: Yes)Bengali: Manbhum: Muchi (20012, GRN rec: Yes)Bengali: Manbhum: Muchi (20012, GRN rec: Yes)Bengali: Manbhum: Muchi (20012, GRN rec: Yes)Bhuyan (20041, GRN rec: Yes)Bhuyan (20041, GRN rec: Yes)Bhuyan (20041, GRN rec: Yes)Bhuyan (20041, GRN rec: Yes)Bhuyan (20041, GRN rec: Yes)Rabidas (20042, GRN rec: Yes)Rabidas (20042, GRN rec: Yes)Rabidas (20042, GRN rec: Yes)Rabidas (20042, GRN rec: Yes)Rabidas (20042, GRN rec: Yes)Rishi (20043, GRN rec: Yes)Rishi (20043, GRN rec: Yes)Rishi (20043, GRN rec: Yes)Rishi (20043, GRN rec: Yes)Rishi (20043, GRN rec: Yes)Bengali: Lohari (20071, GRN rec: No)Bengali: Lohari (20071, GRN rec: No)Bengali: Lohari (20071, GRN rec: No)Bengali: Lohari (20071, GRN rec: No)Bengali: Lohari (20071, GRN rec: No)Bangla: Bagani (21155, GRN rec: No)Bangla: Bagani (21155, GRN rec: No)Bangla: Bagani (21155, GRN rec: No)Bangla: Bagani (21155, GRN rec: No)Bangla: Bagani (21155, GRN rec: No)Bengali: Nepali (22508, GRN rec: Yes)Bengali: Nepali (22508, GRN rec: Yes)Bengali: Nepali (22508, GRN rec: Yes)Bengali: Nepali (22508, GRN rec: Yes)Bengali: Nepali (22508, GRN rec: Yes)Bengali: Barisal (24365, GRN rec: No)Bengali: Barisal (24365, GRN rec: No)Bengali: Barisal (24365, GRN rec: No)Bengali: Barisal (24365, GRN rec: No)Bengali: Barisal (24365, GRN rec: No)Bengali: Khulna (24367, GRN rec: No)Bengali: Khulna (24367, GRN rec: No)Bengali: Khulna (24367, GRN rec: No)Bengali: Khulna (24367, GRN rec: No)Bengali: Khulna (24367, GRN rec: No)Bengali: Mymensingh (24369, GRN rec: No)Bengali: Mymensingh (24369, GRN rec: No)Bengali: Mymensingh (24369, GRN rec: No)Bengali: Mymensingh (24369, GRN rec: No)Bengali: Mymensingh (24369, GRN rec: No)Bengali: Noakhali (24370, GRN rec: No)Bengali: Noakhali (24370, GRN rec: No)Bengali: Noakhali (24370, GRN rec: No)Bengali: Noakhali (24370, GRN rec: No)Bengali: Noakhali (24370, GRN rec: No)Bangla: Kachari-Bengali (24407, GRN rec: No)Bangla: Kachari-Bengali (24407, GRN rec: No)Bangla: Kachari-Bengali (24407, GRN rec: No)Bangla: Kachari-Bengali (24407, GRN rec: No)Bangla: Kachari-Bengali (24407, GRN rec: No)","Eastern (00136)Musalmani (00597)Muslim (03261)Bangla (03263)Singh (05093)Manbhuiyan (06446)Manbhum: Muchi (20012)Bhuyan (20041)Rabidas (20042)Rishi (20043)Bagani (21155)Nepali (22508)Barisal (24365)","Asia","BD","No"
"Bangladesh","Chakma [ccp]","ccp","Indo-European, Indo-Iranian, Indo-Aryan, Outer Languages, Eastern, Bengali-Assamese","Indo-European","Yes","No","740","4 - Educational","Chakama (IN, L)Changma Kodha (BD, L)Changma Vaj (BD, L)Changma Vaj (IN, L)Daingnet (MM, L)Sakma (BD, L)Sangma (BD, L)Sangma (MM, L)Takam (BD, L)Takam (IN, L)Tsakma (IN, L)","Chakma: Assam (858, GRN rec: Yes)Chakma: Assam (858, GRN rec: Yes)Chakma: Assam (858, GRN rec: Yes)Chakma (4672, GRN rec: Yes)Chakma (4672, GRN rec: Yes)Chakma (4672, GRN rec: Yes)Chakma: Daingnet (21278, GRN rec: No)Chakma: Daingnet (21278, GRN rec: No)Chakma: Daingnet (21278, GRN rec: No)Chakma: India (28114, GRN rec: No)Chakma: India (28114, GRN rec: No)Chakma: India (28114, GRN rec: No)","Assam (00858)Daingnet (21278)India (28114)","Asia","BD","No"
"Bangladesh","Chak [ckh]","ckh","Sino-Tibetan, Tibeto-Burman, Sal, Jingppaw-Asakia, Asakian","Sino-Tibetan","Yes","No","4,08","6a - Vigorous","Ashah (MM, L)atsaʔ (BD, L)Sak (BD, L)Sak (MM, L)Thet (MM, L)Tsak (BD, L)","Chak (4507, GRN rec: Yes)Chak (4507, GRN rec: Yes)","","Asia","BD","No"
"Bangladesh","Chittagonian [ctg]","ctg","Indo-European, Indo-Iranian, Indo-Aryan, Outer Languages, Eastern, Bengali-Assamese","Indo-European","Yes","No","13,000,000","3 - Wider Communication","Chatgaiyan Buli (BD, L)Chatgaya (BD, L)Chittagonian Bengali (BD, L)","Bangla: Chittagonian (3259, GRN rec: Yes)Chittagonian (8896, GRN rec: Yes)Bangla: Marmagyi (29982, GRN rec: No)","Chittagonian (03259)Marmagyi (29982)","Asia","BD","No"
"Bangladesh","Kol [ekl]","ekl","Austro-Asiatic, Munda, North Munda, Kherwari, Mundari","Austro-Asiatic","Yes","No","3,82","6a - Vigorous","Hor (BD, L)","Kol (12133, GRN rec: Yes)","","Asia","BD","No"
"Bangladesh","Megam [mef]","mef","Sino-Tibetan, Tibeto-Burman, Sal, Boro-Garo","Sino-Tibetan","Yes","No","6,87","6a - Vigorous","Migam (BD, L)Negam (BD, L)","Megam (13958, GRN rec: Yes)","","Asia","BD","No"
"Bangladesh","Mru [mro]","mro","Sino-Tibetan, Tibeto-Burman, Ngwi-Burmese, Mru","Sino-Tibetan","Yes","No","77,7","5 - Developing","Doumrong (MM, L)Pongmi (MM, L)Tamsa (MM, L)Dak (MM, L)Launghu (MM, L)Maru (BD, L)Maru (IN, L)Maru (MM, L)Mro (BD, L)Mro (IN, L)Mro (MM, L)Mro-Mru (BD, L)Mro-Mru (IN, L)Mro-Mru (MM, L)Mrucha (MM, L)Mrung (BD, L)Mrung (IN, L)Mrung (MM, L)Mrusa (MM, L)Murung (BD, L)Murung (IN, L)Murung (MM, L)Niopheng (IN, L)Niopreng (BD, L)Niopreng (IN, L)Niopreng (MM, L)Taung Mru (MM, L)","Murung: Niopreng (3254, GRN rec: Yes)Murung: Niopreng (3254, GRN rec: Yes)Murung: Niopreng (3254, GRN rec: Yes)Murung (4335, GRN rec: Yes)Murung (4335, GRN rec: Yes)Murung (4335, GRN rec: Yes)Mrucha (5011, GRN rec: Yes)Mrucha (5011, GRN rec: Yes)Mrucha (5011, GRN rec: Yes)Mrucha: Anawk Lai (18840, GRN rec: Yes)Mrucha: Anawk Lai (18840, GRN rec: Yes)Mrucha: Anawk Lai (18840, GRN rec: Yes)Mru: Anok (25631, GRN rec: No)Mru: Anok (25631, GRN rec: No)Mru: Anok (25631, GRN rec: No)Mrucha: Dowpreng (25632, GRN rec: No)Mrucha: Dowpreng (25632, GRN rec: No)Mrucha: Dowpreng (25632, GRN rec: No)Mrucha: Sungma (25633, GRN rec: No)Mrucha: Sungma (25633, GRN rec: No)Mrucha: Sungma (25633, GRN rec: No)","Niopreng (03254)Murung (04335)Anawk Lai (18840)Anok (25631)Dowpreng (25632)Sungma (25633)","Asia","BD","No"
