dialect_code,variant_name
00002,Annamese
00002,Southern Vietnamese
00002,Tieng Viet
00002,Tiếng Việt
00002,Vietnamese: South
00002,Vietnamese: Southern Vietnamese
00002,เวียดนามใต้
00012,Cakchiguel: Central: Patzun
00012,Cakchiquel: Central
00012,"Cakchiquel, Central: Patzun"
00012,Cakchiquel: Patzun
00014,Ch'ol del Sureste
00014,Ch'ol de Sabanilla
00014,Chol de Tumbala
00014,Chol: Tumbala
00017,Chontal of Tabasco
00017,"Chontal, Tabasco: Tapotzingo"
00017,Tabasco
00017,Tabasco Chontal
00025,Anglais
00025,Anglais USA
00025,Anglit
00025,English: USA
00025,Sekgoa
00025,อังกฤษ สหรัฐอเมริกา
00032,Congo Swahili
00032,Ngwana
00032,"Swahili, Zaire: Kingwana"
00036,Mam: Ostuncalco
00036,Mam Quetzalteco
00036,"Mam, Southern"
00036,Mam Sureno
00036,Mam Sur-Oriental
00036,Ostuncalco Mam
00036,Quetzaltenango Mam
00036,San Juan Ostuncalco Mam
00036,S Juan Ostuncalco Mam
00036,South Eastern Mam
00036,Southern
00036,Southern Mam
00047,Brazilian Portuguese
00047,Português
00047,Portugues: Brasil
00047,Portuguese: Brasil
00047,Portuguese: Brazil
00047,Portuguese: Brazilian Portuguese
00047,पुर्तगाली: ब्रासिल
00052,Espanol
00052,Español
00052,Espanol mexicano
00052,Mexican Spanish
00052,Spanish: Campesino
00052,Spanish: Mexico
00058,Cancuc
00058,Chanal
00058,Highland Tzeltal
00058,Tenango
00058,Tenejapa
00058,Tsendal
00058,Tzeltal
00058,Tzeltal: Cancuc
00058,Tzeltal: Oxchuc
00058,Tzendal
00060,Tsotsil
00060,Tzotzil de Zinacanteco
00060,Tzotzil: Zinacantan
00060,Tzotzil: Zinacanteco
00060,Zinacantan Tzotzil
00060,Zinacanteco
00060,Zinacanteco Tzotzil
00074,Kibila: Kibanza
00074,Mabaale: Banza
00085,Black Lahu
00085,Khucong
00085,Lahu: Black
00085,Lahu: Dam
00085,Lahu: Na
00085,Loheirn
00085,Musser Dam
00085,Northern Lahu
00085,ลาหู่นา
00085,拉祜
00089,"Banda, West Central: Gbi"
00089,Ngbaka: Gbi
00090,Afghan
00090,Afghani
00090,Pakhtoo
00090,Pakhtu
00090,Paktu
00090,Pashto
00090,Pashto: Kabuli
00090,Pashtu
00090,Pashtu: Kabuli
00090,Pushto
00090,Pushtu
00090,Quetta-Kandahar Pashto
00098,Gurmukhi
00098,Panjabi
00098,"Panjabi, Eastern"
00098,Punjabi
00098,Punjabi: M
00098,Punjabi: Muslim
00098,Punjabi: Pakistan
00108,Central Lisu
00108,Flowery Lisu
00108,Hua Lisu
00108,Lisu: Hua Lisu
00108,Lisu: Western
00108,Western Lisu
00108,लिसु: पश्चिमी
00108,傈僳
00109,Aleut: Kodiak
00109,Koniag
00109,Unangax Tunuu
00109,Yupik: Kodiak
00109,"Yupik, Pacific Gulf: Kodiak"
00113,"Chinese, Min Dong: Fouzhou"
00113,"Chinese, Min Dong: Hou-Guan"
00113,"Chinese, Min Pei: Fuzhou"
